;"Манты ""Узбекские""";1;220/50;19,8;22;59,4;514,8;Собственного приготовления (свинина, говядина) с аджикой из свежих овощей (4 шт.);165;1_3
;Манты с курицей;1;220/50;19,8;22;59,4;514,8;Собственного приготовления (свинина, говядина) с аджикой из свежих овощей (4 шт.);166;1_4
;Хинкали;1;225/50;23,5;12,9;53,7;412;Собственного приготовления (говядина) с аджикой из свежих овощей, (5шт);165;1_5
;Чучвара с бараниной ;1;165/132;25;23,8;68;578;Узбекские пельмешки с бульоном из свежих овощей, кинзой;155;1_6
;Гренки чесночные с соусом «Блю чиз»;9;100/30;9,5;12,5;22,1;239;;129;9_1
;Гречка с маслом;3;150;6,5;8,1;34,5;237;;60;3_6
;"Фирменная закуска чебуречные криспы с соусом ""сметанно-огуречный"" и ""чили с майонезом""";9;80/30/30;8,2;13,7;23,5;275;;65;9_2
;Глазунья с ветчиной;3;100;17,8;26;8;322,5;Яйцо, ветчина, зелень;89;3_7
;"Картофель ""Айдахо"" с аджикой из свежих овощей";9;150/30;2;13;18;180;;90;9_3
;Картофель фри с соусом;9;100/30;1,8;11,4;16;170;;60;9_4
;Картофельное пюре;1;150;3,2;6,9;12,8;122,6;;60;1_7
;"Острые куриные крылышки с соусом ""Барбекю""";9;140/30;20,8;32,2;15;432,6;;189;9_5
;Окрошка на кефире;2;300/20;9/9,3;10,5/5,7;20,1/12,9;216/141;на квасе/на кефире;129;2_1
;Рис с овощами;1;150;3;2;21,3;117;;55;1_8
;"Рыбные палочки фри с соусом ""тар-тар""";9;120/30;19;17,4;44,8;412;;98;9_6
