;Фирменное «Кинза» светлое Нефильтрованное (алк. 4,0%);4;300/500;99/155;1;
;Фирменное «Кинза» темное Нефильтрованное (алк. 4,7%);4;300/500;99/155;2;
;Жигулевское Бочковое светлое Фильтрованное (алк. 4,8%);4;300/500;90/145;3;
;Эфес Пилснер (Efes Pilsener) Светлое (алк. 5%);5;450;135;1;
;Эсса (Essa): Лайм и мята 6,5%, Ананас и грейпфрут 6,5%;5;500;175;2;
;Велкопоповицкий Козел Темное (алк. 3,7%);5;500;169;3;
;Сидр Честерс Chesters: Вишневый полусладкий 5,5%, Грушевый сладкий 5,5%, Яблочный полусухой 5,5%;5;500;185;4;
;Бавария Премиум Молт 0%;6;500;169;1;
;Мороша, алк. 40%;7;40/500;60/750;1;
;Мягков Классическая, алк. 40%;7;40/500;60/750;2;
;Мягков Клюквенная, алк. 40%;7;40/500;60/750;3;
;Хортица Платинум, алк. 40%;7;40/500;65/770;4;
;Белая Березка, алк. 40%;7;40/500;80/950;5;
;Хаски Северная водка, алк. 40%;7;40/500;70/870;6;
;Пять Озер Премиум, алк. 40%;7;40/500;65/800;7;
;Клюквенная, алк.35% Сибирский напиток с превосходным вкусом, настоянный на ягодах клюквы;8;40/500;70/800;1;
;Смородиновая, алк. 35% Настойка водки на свежей смородине;8;40/500;70/800;2;
;Вишневая, алк. 35% Настойка водки на свежей вишне;8;40/500;70/800;3;
;Облепиховая, алк. 35% Настойка водки на свежих ягодах облепихи;8;40/500;70/800;4;
;Лимонная, алк. 35% Настойка водки на лимоне;8;40/500;70/800;5;
;Хреновуха, алк. 35% Настойка водки на корне хрена с добавлением меда и имбиря;8;40/500;70/800;6;
;Абсент Ксента Xenta Absentа, алк. 70%;9;40;270;1;
;Ягермайстер Jagermeister, алк. 35%;9;40;200;2;
;Ной Традиционный 3*, креп 40%;10;40;145;1;
;Ной Традиционный 5*, креп 40%;10;40;165;2;
;Великая Династия 3 года, креп 40%;10;40;90;3;
;Великая Династия 5 лет, креп 40%;10;40;100;4;
;Дербент 5*, креп 40%;10;40;170;5;
;Вильям Лоусонс William Lawsons, креп. 40%;11;40;140;1;
;Дюарс Уайт Лэйбл Dewars White Label, креп. 40%;11;40;190;2;
;Баллантайнс Файнест Ballantines Finest , креп. 40%;11;40;200;3;
;Джемесон Jameson, креп. 40%;11;40;240;4;
;Джек Дэниелс Jack Daniels, креп. 40%;11;40;290;5;
;Камино Реал Бланко Camino Real Blanko, креп. 40%, с лаймом;12;40/10;220;1;
;Камино Реал Голд Camino Real Gold, креп. 40%, с лаймом;12;40/10;195;2;
;Бакарди Карта Бланка Bacardi Carta Blanca, креп. 40%;13;40;150;1;
;Бакарди Карта Негра Bacardi Carta Negra, креп. 40%;13;40;175;2;
;Бифитер Beefeater, креп. 47%;14;40;235;1;
;Малибу Malibu Coconut, алк.21%;15;40;160;1;
;Самбука Sambuka, анисовый ликер, алк. 38%;15;40;290;2;
;Бейлис, Beileys, алк. 17%;15;40;260;3;
;Блю Кюрасао Blue Curacao алк. 24%;15;40;230;4;
;Калуа Kahlua, кофейный, алк. 20%;15;40;300;5;
;Трипл Сек Triple Sec, апельсиновый, алк. 40%;15;40;250;6;
;«Виски-Кола»;16;200/10;190;1;
;Фирменный коктейль «Кинза» Мартини Бьянко, ликер Блю Кюрасао, водка пять Озер, сок апельсиновый, апельсин;16;240/20;250;2;
;«Лонг-Айленд Айс Ти» Водка, ром, джин, Куантро, текила, пепси, лайм;16;150/20;320;3;
;«Лёха» Водка, сок грейпфрута, сироп арбузный;16;500 мл;490;4;
;«Текила Санрайз» Текила, сок апельсина, гренадин, апельсин;16;210/30;250;5;
;«Мохито»;16;150/105;360;6;
;«Пина Колада» Ром, Малибу, сок ананас, сливки, апельсин;16;220/30;320;7;
;«Ром-Кола»;16;200/20;220;8;
;«Джин-Тоник»;16;190/30;295;9;
;«Мартини Тоник» Мартини Бьянко, швепс, лимон;16;200/5;150;10;
;«Б-52» Трипл Сек, Калуа, Бейлис;16;60;320;11;
